Year,Units,data.Fisheries_type,Value
2000,data.Production,,2514225
2001,data.Production,,2665124
2002,data.Production,,2476188
2003,data.Production,,2487042
2004,data.Production,,2519101
2005,data.Production,,2714050
2006,data.Production,,3032116
2007,data.Production,,3274823
2008,data.Production,,3361255
2009,data.Production,,3182342
2010,data.Production,,3110634
2011,data.Production,,3255929
2012,data.Production,,3183424
2013,data.Production,,3135250
2014,data.Production,,3304228
2015,data.Production,,3337383
2016,data.Production,,3269432
2017,data.Production,,3724711
2018,data.Production,,3770057
2019,data.Production,,3860969
2020 p),data.Production,,3711412
2000,data.Production_amount_of_money,,4066447411
2001,data.Production_amount_of_money,,4252897861
2002,data.Production_amount_of_money,,4205241656
2003,data.Production_amount_of_money,,4770818670
2004,data.Production_amount_of_money,,4731322329
2005,data.Production_amount_of_money,,5049321385
2006,data.Production_amount_of_money,,5285860057
2007,data.Production_amount_of_money,,5751945576
2008,data.Production_amount_of_money,,6345058101
2009,data.Production_amount_of_money,,6924248502
2010,data.Production_amount_of_money,,7425685572
2011,data.Production_amount_of_money,,8072860450
2012,data.Production_amount_of_money,,7689050760
2013,data.Production_amount_of_money,,7226886951
2014,data.Production_amount_of_money,,7351991851
2015,data.Production_amount_of_money,,7257464629
2016,data.Production_amount_of_money,,7476747061
2017,data.Production_amount_of_money,,8566870876
2018,data.Production_amount_of_money,,8608418348
2019,data.Production_amount_of_money,,8366328166
2020 p),data.Production_amount_of_money,,8749303357
2000,data.Production,data.Littoral_fishing,1189000
2001,data.Production,data.Littoral_fishing,1252099
2002,data.Production,data.Littoral_fishing,1095812
2003,data.Production,data.Littoral_fishing,1096526
2004,data.Production,data.Littoral_fishing,1076687
2005,data.Production,data.Littoral_fishing,1097041
2006,data.Production,data.Littoral_fishing,1108815
2007,data.Production,data.Littoral_fishing,1152299
2008,data.Production,data.Littoral_fishing,1284890
2009,data.Production,data.Littoral_fishing,1226966
2010,data.Production,data.Littoral_fishing,1132536
2011,data.Production,data.Littoral_fishing,1235489
2012,data.Production,data.Littoral_fishing,1091034
2013,data.Production,data.Littoral_fishing,1044697
2014,data.Production,data.Littoral_fishing,1058598
2015,data.Production,data.Littoral_fishing,1058319
2016,data.Production,data.Littoral_fishing,907580
2017,data.Production,data.Littoral_fishing,926941
2018,data.Production,data.Littoral_fishing,1011536
2019,data.Production,data.Littoral_fishing,911852
2020 p),data.Production,data.Littoral_fishing,932322
2000,data.Production,data.Marine_aquaculture,653373
2001,data.Production,data.Marine_aquaculture,655827
2002,data.Production,data.Marine_aquaculture,781519
2003,data.Production,data.Marine_aquaculture,826245
2004,data.Production,data.Marine_aquaculture,917715
2005,data.Production,data.Marine_aquaculture,1041074
2006,data.Production,data.Marine_aquaculture,1259274
2007,data.Production,data.Marine_aquaculture,1385804
2008,data.Production,data.Marine_aquaculture,1381003
2009,data.Production,data.Marine_aquaculture,1313355
2010,data.Production,data.Marine_aquaculture,1355000
